iso_code;year;nodf_drought;nodf_earthquakes;nodf_volcanic_activity;nodf_floods;nodf_storms;nodf_landslides;nodf_wildfires;nodf_extreme_temperatures
COL;1950;0;32.2;0;18.4;0;18.7;0;0
COL;1960;0;12.8;0;13.5;0;3.2;0;0
COL;1970;0;65;0;57.6;0;88.9;0;0
COL;1980;0;26;2180;45;3.1;100.9;0;0
COL;1990;0;152.7;1;23.4;0.2;29.8;0;0
COL;2000;0;1.4;1.6;103.1;0.5;25.6;0;0
COL;2010;0;0;0;97.5;1.1;68.9;4.2;0
COL;2020;0;0;0;42.67;7.67;26.33;0;0
COM;1950;0;0;0;0;50;0;0;0
COM;1960;0;0;0;0;0;0;0;0
COM;1970;0;0;0.1;0;0;0;0;0
COM;1980;0;0;0;0;5.9;0;0;0
COM;1990;0;0;0;0;0;0;0;0
COM;2000;0;0;0.1;0.2;0;0;0;0
COM;2010;0;0;0;0.4;0.8;0;0;0
COM;2020;0;0;0;0;0;0;0;0
COG;1950;0;0;0;0;0;0;0;0
COG;1960;0;0;0;0;0;15.4;0;0
COG;1970;0;0;0;0;0;0;0;0
COG;1980;0;0;0;0;0;0;0;0
COG;1990;0;0;0;0.2;0;0;0;0
COG;2000;0;0;0;0.7;0;0;0;0
COG;2010;0;0;0;1.9;0;0;0;0
COG;2020;0;0;0;14.67;0;0;0;0
COK;1950;0;0;0;0;0;0;0;0
COK;1960;0;0;0;0;0;0;0;0
COK;1970;0;0;0;0;0;0;0;0
COK;1980;0;0;0;0;0.5;0;0;0
COK;1990;0;0;0;0;2;0;0;0
COK;2000;0;0;0;0;0;0;0;0
COK;2010;0;0;0;0;0;0;0;0
COK;2020;0;0;0;0;0;0;0;0
CRI;1950;0;3.9;0;0;0;0;0;0
CRI;1960;0;0;10.2;0.7;0;0;0;0
CRI;1970;0;2.1;0.2;2.4;0;0;0;0
CRI;1980;0;1.2;0;0.8;2.8;0;0;0
CRI;1990;0;5.1;0;2.7;6.2;0;0;0
CRI;2000;0;4.1;0;4.4;0.5;0.7;0;0
CRI;2010;0;0.2;0;3.8;2.2;0;0;0
CRI;2020;0;0;0;1;0;0;0;0
CIV;1950;0;0;0;0;0;0;0;0
CIV;1960;0;0;0;0;0;0;0;0
CIV;1970;0;0;0;0;0;0;0;0
CIV;1980;0;0;0;0;0;0;0;0
CIV;1990;0;0;0;2.8;0;0;0;0
CIV;2000;0;0;0;0.6;0;2.7;0;0
CIV;2010;0;0;0;14.7;0;0;0;0
CIV;2020;0;0;0;12.33;0;0;0;0
HRV;1950;0;0;0;0;0;0;0;0
HRV;1960;0;0;0;0;0;0;0;0
HRV;1970;0;0;0;0;0;0;0;0
HRV;1980;0;0;0;0;0;0;0;0
HRV;1990;0;0;0;0;0;0;0;0
HRV;2000;0;0;0;0;0.2;0;1.3;83.3
HRV;2010;0;0;0;0.4;0;0;0;0.7
HRV;2020;0;3;0;0;0;0;0;0
CUB;1950;0;0;0;0;0;0;0;0
CUB;1960;0;0;0;0;175.5;0;0;0
CUB;1970;0;0.1;0;0.7;2.6;0;0;0
CUB;1980;0;0;0;3.8;3.1;0;0;0
CUB;1990;0;0;0;6.5;1.9;0;0;0
CUB;2000;0;0;0;0.4;4;0;0;0
CUB;2010;0;0;0;0.7;3.7;0;0;0
CUB;2020;0;0;0;1;2;0;0;0
CYP;1950;0;4;0;0;0;0;0;0
CYP;1960;0;0;0;0;0.3;0;0;0
CYP;1970;0;0;0;0;0;0;0;0
CYP;1980;0;0;0;0;0;0;0;0
CYP;1990;0;0.2;0;0;0;0;0;5.2
CYP;2000;0;0;0;0;0;0;0;0.9
CYP;2010;0;0;0;0;0;0;0;0
CYP;2020;0;0;0;0;0;0;1.33;0
CZE;1950;0;0;0;0;0;0;0;0
CZE;1960;0;0;0;0;0;0;0;0
CZE;1970;0;0;0;0;0;0;0;0
CZE;1980;0;0;0;0;0;0;0;0
CZE;1990;0;0;0;3.6;0;0;0;0
CZE;2000;0;0;0;3.8;1;0;0;43.3
CZE;2010;0;0;0;2.6;0;0;0;4.7
CZE;2020;0;0;0;0;2.67;0;0;0
COD;1950;0;0;0;0;0;0;0;0
COD;1960;0;2.4;0;0;0;15.4;0;0
COD;1970;0;0;14.7;0;0;0;0;0
COD;1980;0;0;0;0;0;0;0;0
COD;1990;0;0.9;0;6.4;0;0;0;0
