iso_code;year;total_reconstruction_costs;total_insured_damages;total_economic_damages
GEO;1950;0;0;0
GEO;1960;0;0;0
GEO;1970;0;0;0
GEO;1980;0;0;0
GEO;1990;0;0;3170000
GEO;2000;0;0;35215600
GEO;2010;0;0;11700000
GEO;2020;0;0;0
DEU;1950;0;0;0
DEU;1960;0;0;0
DEU;1970;0;0;0
DEU;1980;0;0;0
DEU;1990;0;429830000;1020013000
DEU;2000;0;813800000;2510200000
DEU;2010;0;777000000;2258747500
DEU;2020;0;3233333200;13333333000
GHA;1950;0;0;0
GHA;1960;0;0;7540000
GHA;1970;0;0;0
GHA;1980;0;0;0
GHA;1990;0;0;3350000
GHA;2000;0;0;0
GHA;2010;0;0;1200000
GHA;2020;0;0;0
GRC;1950;0;0;10315000
GRC;1960;0;0;3160000
GRC;1970;0;0;27800000
GRC;1980;0;0;200000000
GRC;1990;0;20000;634540000
GRC;2000;0;0;289865900
GRC;2010;0;800000;68400000
GRC;2020;0;0;216666663
GRD;1950;0;0;0
GRD;1960;0;0;0
GRD;1970;0;0;470000
GRD;1980;0;0;530000
GRD;1990;0;0;550000
GRD;2000;0;0;88900000
GRD;2010;0;0;0
GRD;2020;0;0;0
GLP;1950;0;0;0
GLP;1960;0;0;7000000
GLP;1970;0;0;10010000
GLP;1980;0;0;5000000
GLP;1990;0;0;5500000
GLP;2000;0;12500000;30000000
GLP;2010;0;0;12000000
GLP;2020;0;0;0
GUM;1950;0;0;0
GUM;1960;0;0;25000000
GUM;1970;0;0;12000000
GUM;1980;0;0;14500
GUM;1990;0;5000000;162000000
GUM;2000;0;0;13100000
GUM;2010;0;0;0
GUM;2020;0;0;0
GTM;1950;0;0;0
GTM;1960;0;0;1500000
GTM;1970;0;0;100250000
GTM;1980;0;0;10000000
GTM;1990;0;0;74950000
GTM;2000;0;0;98855000
GTM;2010;97500000;0;142891300
GTM;2020;0;0;128666664
GIN;1950;0;0;0
GIN;1960;0;0;0
GIN;1970;0;0;0
GIN;1980;0;0;800000
GIN;1990;0;0;0
GIN;2000;0;0;0
GIN;2010;0;0;0
GIN;2020;0;0;0
GNB;1950;0;0;0
GNB;1960;0;0;0
GNB;1970;0;0;0
GNB;1980;0;0;0
GNB;1990;0;0;0
GNB;2000;0;0;0
GNB;2010;0;0;0
GNB;2020;0;0;0
GUY;1950;0;0;0
GUY;1960;0;0;0
GUY;1970;0;0;20000
GUY;1980;0;0;0
GUY;1990;0;0;1000000
GUY;2000;0;0;64810000
GUY;2010;0;0;14466900
GUY;2020;0;0;0
HTI;1950;0;0;2000000
HTI;1960;0;0;21000000
HTI;1970;0;0;95900
HTI;1980;0;0;49128600
HTI;1990;0;0;23010000
HTI;2000;0;0;10252000
HTI;2010;1150000000;20016200;1025600000
HTI;2020;659354300;0;540023700
HND;1950;0;0;0
HND;1960;0;0;1950000
HND;1970;0;0;55400000
HND;1980;0;0;10100000
HND;1990;0;15000000;407490000
HND;2000;0;0;35507900
HND;2010;0;0;10610000
HND;2020;0;0;0
HKG;1950;0;0;0
HKG;1960;0;0;900000
HKG;1970;0;0;1000000
HKG;1980;0;0;1265300
HKG;1990;0;0;52941000
HKG;2000;0;0;38000
HKG;2010;0;0;84150000
HKG;2020;0;0;0
HUN;1950;0;0;0
HUN;1960;0;0;65500000
HUN;1970;0;0;308500000
HUN;1980;0;0;1296500000
HUN;1990;0;1100000;1604700000
HUN;2000;0;500000;884170900
HUN;2010;0;0;4665300000
HUN;2020;0;0;5500000000
ISL;1950;0;0;0
ISL;1960;0;0;0
ISL;1970;0;0;3170000
ISL;1980;0;0;0
ISL;1990;0;0;3228900
ISL;2000;0;0;2400000
ISL;2010;0;0;0
ISL;2020;0;0;0
IND;1950;0;0;2000000
IND;1960;0;0;10903000
IND;1970;0;0;261955000
IND;1980;0;0;591616300
IND;1990;0;37120000;1786498200
IND;2000;0;156300000;2226556300
IND;2010;0;296300000;5572707500
IND;2020;0;266666670;11343333400
IDN;1950;0;0;0
IDN;1960;0;0;4103100
IDN;1970;0;0;24455000
IDN;1980;0;0;93738800
IDN;1990;0;5000000;1089155200
IDN;2000;0;102104100;1267266700
IDN;2010;160000000;32000000;975885000
IDN;2020;0;100000000;312666670
IRN;1950;0;0;2000000
IRN;1960;0;0;8600000
IRN;1970;0;0;5900000
IRN;1980;0;40000;276400000
IRN;1990;300000;11500000;1416583000
IRN;2000;0;5900000;132086600
IRN;2010;0;20000000;581600000
IRN;2020;0;0;958333364
IRQ;1950;0;0;5000000
IRQ;1960;0;0;10800000
IRQ;1970;0;0;30000000
IRQ;1980;0;0;0
IRQ;1990;0;0;54240000
IRQ;2000;0;0;150002200
IRQ;2010;0;0;410000000
IRQ;2020;0;0;38000000
IRL;1950;0;0;0
IRL;1960;0;0;0
IRL;1970;0;0;7120000
IRL;1980;0;0;0
IRL;1990;0;3000000;34105000
IRL;2000;0;4700000;10100000
IRL;2010;0;16500000;32500000
IRL;2020;0;0;0
IMN;1950;0;0;0
IMN;1960;0;0;0
IMN;1970;0;0;0
IMN;1980;0;0;0
IMN;1990;0;0;330000000
IMN;2000;0;0;0
IMN;2010;0;0;0
IMN;2020;0;0;0
ISR;1950;0;0;0
ISR;1960;0;0;200000
ISR;1970;0;0;0
ISR;1980;0;0;0
ISR;1990;0;15250000;63500000
ISR;2000;0;0;275000
ISR;2010;0;0;79000000
ISR;2020;0;0;193333330
ITA;1950;0;0;30000000
ITA;1960;0;0;225000000
ITA;1970;0;0;488810000
ITA;1980;0;0;2269420000
ITA;1990;0;1710000;1731841000
ITA;2000;0;72000000;1894945200
ITA;2010;0;301900000;2745210100
ITA;2020;0;0;63000000
JAM;1950;0;0;5600000
JAM;1960;0;0;1152500
JAM;1970;0;0;170000
JAM;1980;0;0;117664000
JAM;1990;0;0;4500000
JAM;2000;0;36500000;137221500
JAM;2010;0;0;16654200
JAM;2020;0;0;0
JPN;1950;0;0;60000000
JPN;1960;0;500000;118890000
JPN;1970;0;200000;264900000
JPN;1980;0;10220000;300450000
JPN;1990;0;1395280000;12800530000
JPN;2000;0;1608000000;7764800000
JPN;2010;0;7800890000;30236780000
JPN;2020;0;2100000000;8466666236
JOR;1950;0;0;0
JOR;1960;0;0;240000
JOR;1970;0;0;0
JOR;1980;0;0;0
JOR;1990;0;0;120100000
