iso_code;year;drought;earthquakes;volcanic_activity;floods;storms;landslides;wildfires;extreme_temperatures;disasters
BLZ;2000;0;0;0;261;0;0;0;0;261.2
BLZ;2010;0;0;0;69;0;0;0;0;76.1
BLZ;2020;0;0;0;650;0;0;0;0;33,983,332
BEN;1950;0;0;0;0;0;0;0;0;0
BEN;1960;0;0;0;0;0;0;0;0;0
BEN;1970;0;0;0;1700;7600;0;0;0;9300
BEN;1980;0;0;0;0;0;0;0;0;0
BEN;1990;0;0;0;260;6000;0;0;0;6260
BEN;2000;0;0;0;3800;11200;0;0;0;15057
BEN;2010;0;0;0;2000;1035.5;0;0;0;3035.5
BEN;2020;0;0;0;0;77,333,336;0;0;0;77,383,336
BMU;1950;0;0;0;0;0;0;0;0;0
BMU;1960;11500;0;0;0;0;0;0;0;11500
BMU;1970;0;0;0;0;0;0;400;0;720
BMU;1980;210000;0;0;91300;0;0;0;0;323900
BMU;1990;0;0;0;77490.1;0;0;0;0;83419.6
BMU;2000;0;0;0;28789.2;80;0;0;0;28957.6
BMU;2010;0;0;0;77357.5;0;0;0;0;92733.4
BMU;2020;0;0;0;38,616,668;0;0;0;0;38,616,668
BTN;1950;0;0;0;0;0;0;0;0;0
BTN;1960;0;0;0;0;0;0;0;0;0
BTN;1970;0;0;0;0;0;0;0;0;0
BTN;1980;0;0;0;0;0;0;0;0;4
BTN;1990;0;0;0;0;0;0;0;0;0
BTN;2000;0;0;0;0;0;0;0;0;0
BTN;2010;0;0;0;0;0;0;0;0;0
BTN;2020;0;0;0;0;0;0;0;0;0
BOL;1950;0;0;0;0;0;0;0;0;0
BOL;1960;0;0;0;0;0;0;0;0;0
BOL;1970;0;0;0;0;0;0;0;0;0
BOL;1980;0;0;0;0;0;0;0;0;0
BOL;1990;0;0;0;60;6500;0;0;0;6560
BOL;2000;0;0;0;0;0;0;0;0;101.2
BOL;2010;0;2000;0;0;0;0;0;0;2001.6
BOL;2020;0;16,666,667;0;0;0;0;0;0;16,733,333
BIH;1950;0;0;0;0;0;0;0;0;0
BIH;1960;0;0;0;2660;0;0;0;0;3280
BIH;1970;0;0;0;25100;0;0;0;0;28600
BIH;1980;308304.9;0;0;37800;0;0;0;0;351152.4
BIH;1990;33316;1110;0;19100;0;16500;350;0;75478.3
BIH;2000;10250;0;0;143079.5;1874;69;300;2527.7;159157.7
BIH;2010;111903.5;0;300;151873.5;0;1060;3600;1749;271017.5
BIH;2020;0;0;0;238730;0;0;42000;0;280736
BWA;1950;0;0;0;0;0;0;0;0;0
BWA;1960;0;0;0;0;0;0;0;0;0
BWA;1970;0;0;0;0;0;0;0;0;0
BWA;1980;0;0;0;0;0;0;0;0;0
BWA;1990;0;0;0;0;100;0;0;0;109
BWA;2000;6257.5;0;0;29383;0;40;0;1000;36680.8
BWA;2010;0;0;0;103626.9;0;0;0;1034.7;104661.6
BWA;2020;0;350;0;88,333,336;0;0;0;0;88684
BRA;1950;0;0;0;0;0;0;0;0;0
BRA;1960;12000;0;0;0;0;0;0;0;12000
BRA;1970;8760;0;0;100;0;0;0;0;8860
BRA;1980;103730;0;0;1200;0;0;0;0;104930.7
BRA;1990;10000;0;0;350;0;0;0;0;10550
BRA;2000;0;0;0;11639.2;40;0;0;0;14879.2
BRA;2010;3800;0;0;1168.5;0;0;0;0;4968.5
BRA;2020;0;0;0;0;0;0;0;0;0
VGB;1950;0;0;0;0;0;0;0;0;0
VGB;1960;0;0;0;71791.7;0;400000;0;0;482598.6
VGB;1970;1500000;0;0;277037.1;0;0;0;0;1790307.1
VGB;1980;2075000;1500;0;838533.5;4920;7800;0;0;2969320
VGB;1990;1000000;0;0;20252.3;60;700;1200;0;1034124.3
VGB;2000;200000;28;0;400589.9;15185;600;0;0;659972.6
VGB;2010;3106200;0;0;296346.1;2474;0;1000000;0;4421567.5
VGB;2020;0;0;0;599088;373;0;0;0;601687
BRN;1950;0;0;0;0;0;0;0;0;0
BRN;1960;0;0;0;0;0;0;0;0;0
BRN;1970;0;0;0;0;0;0;0;0;0
BRN;1980;0;0;0;0;0;0;0;0;0
