iso_code;year;nopif_drought;nopif_earthquakes;nopif_volcanic_activity;nopif_floods;nopif_storms;nopif_landslides;nopif_wildfires;nopif_extreme_temperatures
KHM;1960;0;0;0;0;0;0;0;0
KHM;1970;0;0;0;0;0;0;0;0
KHM;1980;0;0;0;0;0;0;0;0
KHM;1990;0;0;0;0;0;0;0;0
KHM;2000;0;0;0;5;9;0;0;0
KHM;2010;0;0;0;2;0;0;0;0
KHM;2020;0;0;0;0;0;0;0;0
CMR;1950;0;0;0;0;0;0;0;0
CMR;1960;0;0;0;0;0;0;0;0
CMR;1970;0;0;0;0;0;0;0;0
CMR;1980;0;0;44;0;0;0;0;0
CMR;1990;0;0;0;0;0;0;0;0
CMR;2000;0;0;0;2;0;0;0;0
CMR;2010;0;0;0;10;0;0;0;0
CMR;2020;0;0;0;32;0;0;0;0
CAN;1950;0;0;0;0;0;0;0;0
CAN;1960;0;0;0;0;0;2;0;0
CAN;1970;0;0;0;0;4;0;0;0
CAN;1980;0;0;0;0;45;0;0;0
CAN;1990;0;0;0;0;0;0;0;0
CAN;2000;0;0;0;0;14;0;0;0
CAN;2010;0;0;0;0;5;0;0;0
CAN;2020;0;0;0;0;1;0;0;0
CPV;1950;0;0;0;0;0;0;0;0
CPV;1960;0;0;0;0;0;0;0;0
CPV;1970;0;0;0;0;0;0;0;0
CPV;1980;0;0;0;0;12;0;0;0
CPV;1990;0;0;1;0;0;0;0;0
CPV;2000;0;0;0;0;0;0;0;0
CPV;2010;0;0;0;0;0;0;0;0
CPV;2020;0;0;0;0;0;0;0;0
CYM;1950;0;0;0;0;0;0;0;0
CYM;1960;0;0;0;0;0;0;0;0
CYM;1970;0;0;0;0;0;0;0;0
CYM;1980;0;0;0;0;0;0;0;0
CYM;1990;0;0;0;0;0;0;0;0
CYM;2000;0;0;0;0;0;0;0;0
CYM;2010;0;0;0;0;0;0;0;0
CYM;2020;0;0;0;0;0;0;0;0
CAF;1950;0;0;0;0;0;0;0;0
CAF;1960;0;0;0;0;0;0;0;0
CAF;1970;0;0;0;0;0;0;0;0
CAF;1980;0;0;0;0;5;0;0;0
CAF;1990;0;0;0;0;0;0;0;0
CAF;2000;0;0;0;1;0;0;0;0
CAF;2010;0;0;0;0;7;0;0;0
CAF;2020;0;0;0;3;0;0;0;0
TCD;1950;0;0;0;0;0;0;0;0
TCD;1960;0;0;0;0;0;0;0;0
TCD;1970;0;0;0;0;10;0;0;0
TCD;1980;0;0;0;5;0;0;0;0
TCD;1990;0;0;0;1;0;0;0;0
TCD;2000;0;0;0;0;15;0;0;0
TCD;2010;0;0;0;0;0;4;0;0
TCD;2020;0;0;0;186;0;0;0;0
CHL;1950;0;9;0;0;0;0;0;0
CHL;1960;0;336;0;0;0;0;0;0
CHL;1970;0;45;0;0;0;0;0;0
CHL;1980;0;262;0;0;13;3;0;0
CHL;1990;0;16;0;6;0;14;0;0
CHL;2000;0;34;0;0;0;0;0;0
CHL;2010;0;1036;0;14;0;1;56;0
CHL;2020;0;0;0;3;0;0;0;0
CHN;1950;0;11;0;0;0;0;0;0
CHN;1960;0;0;0;0;0;0;0;0
CHN;1970;0;16709;0;0;6;0;0;0
CHN;1980;0;736;0;7612;1868;115;22;0
CHN;1990;0;3545;0;54049;5172;19;0;0
CHN;2000;0;38783;0;21028;10766;14;0;370
CHN;2010;0;7161;0;26;472;26;0;112
CHN;2020;0;212;0;0;108;1;0;0
COL;1950;0;5;0;0;0;0;0;0
COL;1960;0;50;0;0;0;0;0;0
COL;1970;0;165;0;17;0;102;0;0
COL;1980;0;120;500;90;4;244;0;0
COL;1990;0;919;1;12;0;0;0;0
COL;2000;0;8;1;103;20;7;0;0
COL;2010;0;2;0;77;2;43;0;0
COL;2020;0;0;0;23;1;29;0;0
COM;1950;0;0;0;0;0;0;0;0
COM;1960;0;0;0;0;0;0;0;0
COM;1970;0;0;0;0;0;0;0;0
COM;1980;0;0;0;0;5;0;0;0
COM;1990;0;0;0;0;0;0;0;0
COM;2000;0;0;0;0;0;0;0;0
COM;2010;0;0;0;15;18;0;0;0
COM;2020;0;0;0;0;0;0;0;0
COG;1950;0;0;0;0;0;0;0;0
COG;1960;0;0;0;0;0;0;0;0
COG;1970;0;0;0;0;0;0;0;0
COG;1980;0;0;0;0;0;0;0;0
COG;1990;0;0;0;0;0;0;0;0
COG;2000;0;0;0;0;0;0;0;0
COG;2010;0;0;0;9;0;0;0;0
COG;2020;0;0;0;0;0;0;0;0
COK;1950;0;0;0;0;0;0;0;0
COK;1960;0;0;0;0;0;0;0;0
COK;1970;0;0;0;0;0;0;0;0
COK;1980;0;0;0;0;0;0;0;0
COK;1990;0;0;0;0;20;0;0;0
COK;2000;0;0;0;0;1;0;0;0
COK;2010;0;0;0;0;1;0;0;0
COK;2020;0;0;0;0;0;0;0;0
CRI;1950;0;0;0;0;0;0;0;0
CRI;1960;0;0;20;2;0;0;0;0
CRI;1970;0;10;0;4;0;0;0;0
CRI;1980;0;6;0;0;750;0;0;0
CRI;1990;0;55;0;2;0;0;0;0
CRI;2000;0;17;0;4;0;0;0;0
CRI;2010;0;23;0;0;0;0;0;0
CRI;2020;0;0;0;0;0;0;0;0
CIV;1950;0;0;0;0;0;0;0;0
CIV;1960;0;0;0;0;0;0;0;0
CIV;1970;0;0;0;0;0;0;0;0
CIV;1980;0;0;0;0;0;0;0;0
CIV;1990;0;0;0;0;0;0;0;0
CIV;2000;0;0;0;0;0;1;0;0
CIV;2010;0;0;0;6;0;0;0;0
CIV;2020;0;0;0;49;0;0;0;0
HRV;1950;0;0;0;0;0;0;0;0
HRV;1960;0;0;0;0;0;0;0;0
HRV;1970;0;0;0;0;0;0;0;0
HRV;1980;0;0;0;0;0;0;0;0
HRV;1990;0;0;0;0;0;0;0;0
HRV;2000;0;0;0;0;0;0;3;20
HRV;2010;0;0;0;1;0;0;8;0
HRV;2020;0;21;0;0;0;0;0;0
CUB;1950;0;0;0;0;0;0;0;0
CUB;1960;0;0;0;0;3;0;0;0
CUB;1970;0;1;0;0;7;0;0;0
CUB;1980;0;0;0;5;0;0;0;0
CUB;1990;0;4;0;0;10;0;0;0
CUB;2000;0;0;0;0;4;0;0;0
CUB;2010;0;0;0;0;20;0;0;0
CUB;2020;0;0;0;0;1;0;0;0
CYP;1950;0;10;0;0;0;0;0;0
CYP;1960;0;0;0;0;10;0;0;0
CYP;1970;0;0;0;0;0;0;0;0
CYP;1980;0;0;0;0;0;0;0;0
CYP;1990;0;1;0;0;0;0;0;10
CYP;2000;0;0;0;0;4;0;0;40
CYP;2010;0;0;0;0;0;0;0;0
CYP;2020;0;0;0;0;0;0;0;0
CZE;1950;0;0;0;0;0;0;0;0
CZE;1960;0;0;0;0;0;0;0;0
CZE;1970;0;0;0;0;0;0;0;0
CZE;1980;0;0;0;0;0;0;0;0
CZE;1990;0;0;0;241;0;0;0;0
CZE;2000;0;0;0;0;2;0;0;0
CZE;2010;0;0;0;0;0;0;0;0
CZE;2020;0;0;0;0;74;0;0;0
COD;1950;0;0;0;0;0;0;0;0
COD;1960;0;60;0;0;0;0;0;0
COD;1970;0;0;0;0;0;0;0;0
COD;1980;0;0;0;0;0;0;0;0
COD;1990;0;6;0;50;0;0;0;0
COD;2000;0;1;40;17;265;0;0;0
COD;2010;0;3;0;108;0;2;0;0
COD;2020;0;0;0;28;0;0;0;0
DNK;1950;0;0;0;0;0;0;0;0
DNK;1960;0;0;0;0;0;0;0;0
DNK;1970;0;0;0;0;0;0;0;0
DNK;1980;0;0;0;0;0;0;0;0
DNK;1990;0;0;0;0;0;0;0;0
DNK;2000;0;0;0;0;0;0;0;0
DNK;2010;0;0;0;0;0;0;0;0
DNK;2020;0;0;0;0;1;0;0;0
DJI;1950;0;0;0;0;0;0;0;0
DJI;1960;0;0;0;0;0;0;0;0
DJI;1970;0;0;0;0;0;0;0;0
DJI;1980;0;0;0;30;0;0;0;0
DJI;1990;0;0;0;0;0;0;0;0
DJI;2000;0;0;0;0;0;0;0;0
DJI;2010;0;0;0;0;0;0;0;0
DJI;2020;0;0;0;0;0;0;0;0
DMA;1950;0;0;0;0;0;0;0;0
DMA;1960;0;0;0;0;0;0;0;0
DMA;1970;0;0;0;0;210;0;0;0
DMA;1980;0;0;0;0;0;0;0;0
DMA;1990;0;0;0;0;0;0;0;0
DMA;2000;0;0;0;0;3;0;0;0
DMA;2010;0;0;0;0;12;0;0;0
DMA;2020;0;0;0;0;0;0;0;0
DOM;1950;0;0;0;0;0;0;0;0
DOM;1960;0;0;0;0;44;0;0;0
DOM;1970;0;0;0;0;400;0;0;0
DOM;1980;0;0;0;0;0;0;0;0
DOM;1990;0;0;0;0;63;0;0;0
DOM;2000;0;2;0;0;1;0;0;0
DOM;2010;0;0;0;0;0;0;0;0
DOM;2020;0;0;0;0;0;0;0;0
ECU;1950;0;0;0;0;0;0;0;0
ECU;1960;0;0;0;10;0;0;0;0
ECU;1970;0;12;0;0;0;0;0;0
ECU;1980;0;5;0;0;0;0;0;0
ECU;1990;0;32;0;9;0;7;0;0
