iso_code,year,nodf_drought,nodf_earthquakes,nodf_volcanic_activity,nodf_floods,nodf_storms,nodf_landslides,nodf_wildfires,nodf_extreme_temperatures
BIH,2020,0,0.33,0,0,0,0,0,0
BWA,1950,0,0,0,0,0,0,0,0
BWA,1960,0,0,0,0,0,0,0,0
BWA,1970,0,0,0,0,0,0,0,0
BWA,1980,0,0,0,0.8,0,0,0,0
BWA,1990,0,0,0,2,0,0,0,0
BWA,2000,0,0,0,0.3,0,0,0,0
BWA,2010,0,0,0,44958,0,0,0,0
BWA,2020,0,0,0,0,0,0,0,0
BRA,1950,0,0,0,44978,45174,45083,0,0
BRA,1960,0,0,0,181.8,45080,78.6,0,44996
BRA,1970,0,0,0,114.2,1,44938,0,45089
BRA,1980,2,0.1,0,159.8,45088,44999,0,45114
BRA,1990,0,0,0,38.6,0.3,37.8,0.1,0
BRA,2000,0,0.1,0,86.6,45079,44948,0,0.7
BRA,2010,0,0,0,161.6,0.4,3,0,44960
BRA,2020,0,0,0,230.33,4,0,0,0
VGB,1950,0,0,0,0,0,0,0,0
VGB,1960,0,0,0,0,0,0,0,0
VGB,1970,0,0,0,0,0,0,0,0
VGB,1980,0,0,0,0,0,0,0,0
VGB,1990,0,0,0,0,0,0,0,0
VGB,2000,0,0,0,0,0,0,0,0
VGB,2010,0,0,0,0,0.9,0,0,0
VGB,2020,0,0,0,0,0,0,0,0
BRN,1950,0,0,0,0,0,0,0,0
BRN,1960,0,0,0,0,0,0,0,0
BRN,1970,0,0,0,0,0,0,0,0
BRN,1980,0,0,0,0,0,0,0,0
BRN,1990,0,0,0,0,0,0,0,0
BRN,2000,0,0,0,0,0,0,0,0
BRN,2010,0,0,0,0,0,0,0,0
BRN,2020,0,0,0,0,0,0,0,0
BGR,1950,0,0,0,0,0,0,0,0
BGR,1960,0,0,0,0,0,44927,0,0
BGR,1970,0,2,0,0,0,0,0,0
BGR,1980,0,0.3,0,0,0,0,0,0
BGR,1990,0,0.1,0,0,0,0,0,0.3
BGR,2000,0,0,0,44962,0.2,0,1,45110
BGR,2010,0,0,0,3,0.1,0,0,45080
BGR,2020,0,0,0,0,0,0,0,0
BFA,1950,0,0,0,0,0,0,0,0
BFA,1960,0,0,0,0,0,0,0,0
BFA,1970,0,0,0,0,0,0,0,0
BFA,1980,0,0,0,45078,0,0,0,0
BFA,1990,0,0,0,45140,0,0,0,0
BFA,2000,0,0,0,45113,0,0,0,0
BFA,2010,0,0,0,44932,0,0,0,0
BFA,2020,0,0,0,12145,0,0,0,0
BDI,1950,0,0,0,0,0,0,0,0
BDI,1960,0,0,0,0,0,0,0,0
BDI,1970,0,0,0,0,0,0,0,0
BDI,1980,0,0,0,44958,0,0,0,0
BDI,1990,0.6,0,0,0,0,0,0,0
BDI,2000,12,0.3,0,45080,0,0,0,0
BDI,2010,0,0,0,44974,44928,45021,0,0
BDI,2020,0,0,0,1,0.67,0,0,0
KHM,1950,0,0,0,0,0,0,0,0
KHM,1960,0,0,0,0,0,0,0,0
KHM,1970,0,0,0,0,0,0,0,0
KHM,1980,0,0,0,0,0,0,0,0
KHM,1990,0,0,0,67.2,45048,0,0,0
KHM,2000,0,0,0,45.5,45170,0,0,0
KHM,2010,0,0,0,52.6,0,0,0,0
KHM,2020,0,0,0,5,20.33,0,0,0
CMR,1950,0,0,0,0,0,0,0,0
CMR,1960,0,0,0,0,0,0,0,0
CMR,1970,0,0,0,0,0,0,0,0
CMR,1980,0,0,178.3,0.2,0,0,0,0
CMR,1990,0,0,0,44960,0,0,0,0
CMR,2000,0,0,0,44962,0,2,0,0
CMR,2010,0,0,0,45050,0,45021,0,0
CMR,2020,0,0,0,0.67,0,24473,0,0
CAN,1950,0,0,0,0.1,45177,0,0,0
CAN,1960,0,0,0,0,44988,45079,0,0
CAN,1970,0,0,0,0,45018,0,0,0
CAN,1980,0,0,0,0.3,45141,0,0.1,0
CAN,1990,0,0,0,45048,45141,0,0,0
CAN,2000,0,0,0,0.9,44960,0,0.1,0
CAN,2010,0,0,0,44958,0.3,0,0.1,8
CAN,2020,0,0,0,24473,4,0,0.67,271.67
CPV,1950,0,0,0,0,0,0,0,0
CPV,1960,0,0,0,0,0,0,0,0
CPV,1970,0,0,0,0,0,0,0,0
CPV,1980,0,0,0,0,44960,0,0,0
CPV,1990,0,0,0,0,0,0,0,0
CPV,2000,0,0,0,0.3,0,0,0,0
CPV,2010,0,0,0,0,0.9,0,0,0
CPV,2020,0,0,0,0.33,0,0,0,0
CYM,1950,0,0,0,0,0,0,0,0
CYM,1960,0,0,0,0,0,0,0,0
CYM,1970,0,0,0,0,0,0,0,0
CYM,1980,0,0,0,0,0,0,0,0
CYM,1990,0,0,0,0,0,0,0,0
CYM,2000,0,0,0,0,0.2,0,0,0
CYM,2010,0,0,0,0,0,0,0,0
CYM,2020,0,0,0,0,0,0,0,0
CAF,1950,0,0,0,0,0,0,0,0
CAF,1960,0,0,0,0,0,0,0,0
CAF,1970,0,0,0,0,0,0,0,0
CAF,1980,0,0,0,0,0,0,0,0
CAF,1990,0,0,0,0.7,0,0,0,0
CAF,2000,0,0,0,0.6,0.6,0,0.1,0
CAF,2010,0,0,0,0.3,0.2,0,0,0
CAF,2020,0,0,0,12175,0,0,0,0
TCD,1950,0,0,0,0,0,0,0,0
TCD,1960,0,0,0,0,0,0,0,0
TCD,1970,0,0,0,0,44986,0,0,0
TCD,1980,300,0,0,44989,44927,0,0,0
TCD,1990,0,0,0,44930,0,0,0,0
TCD,2000,0,0,0,45002,45017,0,0,0
TCD,2010,0,0,0,45020,0,44962,0,0
TCD,2020,0,0,0,19,0,0,0,0
CHL,1950,0,45047,0,0,0,0,0,0
CHL,1960,0,640.4,0.4,60,45143,45079,0,0
CHL,1970,0,45054,0,45080,45047,3,0,0
CHL,1980,0,45187,0,44943,44999,44960,0,0
CHL,1990,0,44927,0.6,45184,0.4,44940,1,0.2
CHL,2000,0,44987,0,45023,45111,0,0,0.6
CHL,2010,0,59,0,45066,0.6,44959,44960,0
CHL,2020,0,0,0,0,0,0,0,0
CHN,1950,0,44994,0,204004.7,378.4,0,0,0
CHN,1960,0,300,0,0,68.6,0,0,0
CHN,1970,0,27404.2,0,2000,45117,0,0,0
CHN,1980,140,126.4,0,1418.7,323.1,37.5,44945,0.2
CHN,1990,200,64,0,1792.5,563.6,124.8,44962,45030
CHN,2000,45029,8794.7,0,577,318,95.9,0,44945
CHN,2010,0,421.8,0,622.7,159.3,274.7,44962,45111
CHN,2020,0,45,0,297.33,35,24593,12206,0
COL,1950,0,32.2,0,45034,0,45125,0,0
COL,1960,0,45150,0,45059,0,44960,0,0
COL,1970,0,65,0,57.6,0,88.9,0,0
COL,1980,0,26,2180,45,44929,100.9,0,0
COL,1990,0,152.7,1,45039,0.2,45167,0,0
COL,2000,0,45017,45078,103.1,0.5,45102,0,0
COL,2010,0,0,0,97.5,44927,68.9,44961,0
COL,2020,0,0,0,42.67,24654,26.33,0,0
COM,1950,0,0,0,0,50,0,0,0
COM,1960,0,0,0,0,0,0,0,0
COM,1970,0,0,0.1,0,0,0,0,0
COM,1980,0,0,0,0,45174,0,0,0
COM,1990,0,0,0,0,0,0,0,0
COM,2000,0,0,0.1,0.2,0,0,0,0
COM,2010,0,0,0,0.4,0.8,0,0,0
COM,2020,0,0,0,0,0,0,0,0
COG,1950,0,0,0,0,0,0,0,0
COG,1960,0,0,0,0,0,45031,0,0
COG,1970,0,0,0,0,0,0,0,0
COG,1980,0,0,0,0,0,0,0,0
COG,1990,0,0,0,0.2,0,0,0,0
COG,2000,0,0,0,0.7,0,0,0,0
COG,2010,0,0,0,45170,0,0,0,0
COG,2020,0,0,0,14.67,0,0,0,0
COK,1950,0,0,0,0,0,0,0,0
COK,1960,0,0,0,0,0,0,0,0
COK,1970,0,0,0,0,0,0,0,0
COK,1980,0,0,0,0,0.5,0,0,0
COK,1990,0,0,0,0,2,0,0,0
COK,2000,0,0,0,0,0,0,0,0
COK,2010,0,0,0,0,0,0,0,0
COK,2020,0,0,0,0,0,0,0,0
CRI,1950,0,45172,0,0,0,0,0,0
CRI,1960,0,0,44967,0.7,0,0,0,0
CRI,1970,0,44928,0.2,45018,0,0,0,0
CRI,1980,0,44958,0,0.8,45140,0,0,0
CRI,1990,0,44931,0,45109,44963,0,0,0
CRI,2000,0,44930,0,45020,0.5,0.7,0,0
CRI,2010,0,0.2,0,45141,44959,0,0,0
CRI,2020,0,0,0,1,0,0,0,0
CIV,1950,0,0,0,0,0,0,0,0
CIV,1960,0,0,0,0,0,0,0,0
CIV,1970,0,0,0,0,0,0,0,0
CIV,1980,0,0,0,0,0,0,0,0
CIV,1990,0,0,0,45140,0,0,0,0
CIV,2000,0,0,0,0.6,0,45109,0,0
CIV,2010,0,0,0,45121,0,0,0,0
CIV,2020,0,0,0,12389,0,0,0,0
HRV,1950,0,0,0,0,0,0,0,0
HRV,1960,0,0,0,0,0,0,0,0
HRV,1970,0,0,0,0,0,0,0,0
HRV,1980,0,0,0,0,0,0,0,0
HRV,1990,0,0,0,0,0,0,0,0
HRV,2000,0,0,0,0,0.2,0,44986,83.3
HRV,2010,0,0,0,0.4,0,0,0,0.7
HRV,2020,0,3,0,0,0,0,0,0
CUB,1950,0,0,0,0,0,0,0,0
CUB,1960,0,0,0,0,175.5,0,0,0
CUB,1970,0,0.1,0,0.7,45079,0,0,0
CUB,1980,0,0,0,45141,44929,0,0,0
CUB,1990,0,0,0,45052,45170,0,0,0
CUB,2000,0,0,0,0.4,4,0,0,0
CUB,2010,0,0,0,0.7,45110,0,0,0
CUB,2020,0,0,0,1,2,0,0,0
CYP,1950,0,4,0,0,0,0,0,0
CYP,1960,0,0,0,0,0.3,0,0,0
CYP,1970,0,0,0,0,0,0,0,0
CYP,1980,0,0,0,0,0,0,0,0
