iso_code,Year,Number of total people affected by drought,Number of total people affected by earthquakes,Number of total people affected by volcanic activity,Number of total people affected by floods,Number of total people affected by storms,Number of total people affected by landslides,Number of total people affected by wildfires,Number of total people affected by extreme temperatures
NGA,2010,0,0,0,1075575.2,1601.2,0,0,0
NGA,2020,0,0,0,1001518.3,500,0,0,0
NIU,1950,0,0,0,0,160,0,0,0
NIU,1960,0,0,0,0,400,0,0,0
NIU,1970,0,0,0,0,0,0,0,0
NIU,1980,0,0,0,0,0,0,0,0
NIU,1990,0,0,0,0,20,0,0,0
NIU,2000,0,0,0,0,70.2,0,0,0
NIU,2010,0,0,0,0,0,0,0,0
NIU,2020,0,0,0,0,0,0,0,0
PRK,1950,0,0,0,0,0,0,0,0
PRK,1960,0,0,0,0,0,0,0,0
PRK,1970,0,0,0,0,0,0,0,0
PRK,1980,0,0,0,2007.1,0,0,0,0
PRK,1990,0,0,0,955130.7,250,0,0,0
PRK,2000,0,0,0,172437.2,63623,0,0,0
PRK,2010,3110000,0,0,230118.1,539096,0,0,1376.8
PRK,2020,0,0,0,30000,0,0,0,0
MKD,1950,0,0,0,0,0,0,0,0
MKD,1960,0,0,0,0,0,0,0,0
MKD,1970,0,0,0,0,0,0,0,0
MKD,1980,0,0,0,0,0,0,0,0
MKD,1990,1000,0,0,150,0,0,0,0
MKD,2000,0,0,0,10990,0.3,0,100000,44977
MKD,2010,0,10,0,14352.3,0,0,0,1612
MKD,2020,0,0,0,0,0,0,26666666,0
MNP,1950,0,0,0,0,0,0,0,0
MNP,1960,0,0,0,0,0,0,0,0
MNP,1970,0,0,0,0,0,0,0,0
MNP,1980,0,0,0,0,0,0,0,0
MNP,1990,0,0,0,0,0,0,0,0
MNP,2000,0,0,0,0,50,0,0,0
MNP,2010,0,0,0,0,36,0,0,0
MNP,2020,0,0,0,0,0,0,0,0
NOR,1950,0,0,0,0,0,0,0,0
NOR,1960,0,0,0,0,0,0,0,0
NOR,1970,0,0,0,0,0,0,0,0
NOR,1980,0,0,0,0,0,0,0,0
NOR,1990,0,0,0,400,0,0,0,0
NOR,2000,0,0,0,210,10,0,0,0
NOR,2010,0,0,0,0,50,15,0,0
NOR,2020,0,0,0,0,0,33666666,0,0
OMN,1950,0,0,0,0,0,0,0,0
OMN,1960,0,0,0,0,0,0,0,0
OMN,1970,0,0,0,0,659.6,0,0,0
OMN,1980,0,0,0,0,0,0,0,0
OMN,1990,0,0,0,0,0,0,0,0
OMN,2000,0,0,0,0,2008.3,0,0,0
OMN,2010,0,0,0,20,620,0,0,0
OMN,2020,0,0,0,33333332,30,0,0,0
PAK,1950,0,0,0,0,0,0,0,0
PAK,1960,0,0,0,22442.7,40000,0,0,0
PAK,1970,0,5520,0,1363720,0,0,0,0
PAK,1980,0,1503.7,0,130490,87.3,10,0,0
PAK,1990,220000,21809.5,0,1814860.6,53637.1,351.4,0,25
PAK,2000,0,628691.6,0,957415,165306.9,44959,0,32.4
PAK,2010,468091.2,83518.9,0,3649543.5,452.1,3051.8,0,8000
PAK,2020,0,21366666,0,11524469,333377.34,0,13346666,0
PLW,1950,0,0,0,0,0,0,0,0
PLW,1960,0,0,0,0,0,0,0,0
PLW,1970,0,0,0,0,0,0,0,0
PLW,1980,0,0,0,0,0,0,0,0
PLW,1990,0,0,0,0,0,0,0,0
PLW,2000,0,0,0,0,0,0,0,0
PLW,2010,1420,0,0,0,125,0,0,0
PLW,2020,0,0,0,0,24293333,0,0,0
PSE,1950,0,0,0,0,0,0,0,0
PSE,1960,0,0,0,0,0,0,0,0
PSE,1970,0,0,0,0,0,0,0,0
PSE,1980,0,0,0,0,0,0,0,0
PSE,1990,0,0,0,0,0,0,0,0
PSE,2000,0,0,0,0,0,0,0,0
PSE,2010,0,0,0,1450,8112.1,0,0,0
PSE,2020,0,0,0,0,0,0,0,11166667
PAN,1950,0,0,0,0,0,0,0,0
PAN,1960,0,0,0,260,51.8,0,0,0
PAN,1970,0,0,0,5064.5,0,0,0,0
PAN,1980,8100,0,0,700,873.2,0,0,0
PAN,1990,0,2009.6,0,2145.6,755,0,0,0
PAN,2000,0,141.5,0,9366.7,0,0,143.6,0
PAN,2010,0,0,0,5000.5,2400,0,0,0
PAN,2020,0,0,0,10113333,16666666,0,0,0
PNG,1950,0,0,320,0,0,0,0,0
PNG,1960,0,0,200,0,0,0,0,0
PNG,1970,0,402,0,0,0,0,0,0
PNG,1980,4000,500,2500,1300,0,0,0,0
PNG,1990,50000,3006.7,15383.1,18200,4754,500.8,800,0
PNG,2000,0,1087.1,4089.9,10019.3,16214,1109.5,0,0
PNG,2010,252000,54495.1,1791.6,28895,2154.5,0,0,0
PNG,2020,0,6563333,0,20300,0,33333332,0,0
PRY,1950,0,0,0,0,0,0,0,0
PRY,1960,1340,0,0,3239,0,0,0,0
PRY,1970,0,0,0,21700,0,0,0,0
PRY,1980,0,0,0,23000,0,0,0,0
PRY,1990,4000,0,0,43057.5,45114,0,0,0
PRY,2000,27099,0,0,1480,6085.5,0,12500,0
PRY,2010,146690,0,0,108135.2,8712.5,0,400,0
PRY,2020,0,0,0,2000,0,0,0,0
PER,1950,0,122,0,0,0,0,0,0
PER,1960,28460.4,11219.2,0,5030,0,0,0,0
PER,1970,0,485126.6,0,48899,0,1350,0,0
PER,1980,0,2385.1,0,32501.9,0,74077.6,0,270
PER,1990,330000,23308.2,400,84393,58073,3380.7,100,0
PER,2000,2150,101493.4,300,89954.9,8668.2,154.1,0,488618.9
PER,2010,0,3983.4,3104,358539.7,0,108.2,0,50373.1
PER,2020,0,6645,0,12318333,0,1042,0,0
PHL,1950,0,210.1,0,0,6045.2,0,0,0
PHL,1960,0,44952,11148.5,0,230218.9,0,0,0
PHL,1970,366.5,24164.2,3751,401924.6,1121286.1,0.7,0,0
PHL,1980,369526,207.6,7000,85009.2,2143257.2,127.7,0,0
PHL,1990,285428.2,190334.6,121095.2,536225.9,2690178.5,7389.6,30,0
PHL,2000,0,7384.3,25666.9,413617.1,4315285.5,24052.7,0,0
PHL,2010,19768.7,434670.3,19469.3,1918726.6,7555605,183.9,0,0
PHL,2020,0,218419.33,256550,115770336,7969481.5,39076667,0,0
POL,1950,0,0,0,0,0,0,0,0
POL,1960,0,0,0,0,0,0,0,0
POL,1970,0,0,0,100,0,0,0,0
POL,1980,0,105,0,2132.4,90,0,0,0
POL,1990,0,0,0,22570,0,0,0,0
POL,2000,0,0,0,1985,114.2,0,0,0
POL,2010,0,0,0,10070.3,758.1,0,0,0
POL,2020,0,0,0,130,11776666,0,0,0
PRT,1950,0,0,0,0,0,0,0,0
PRT,1960,0,108,0,110,0,0,0,0
PRT,1970,0,0,0,4522,0,0,0,0
PRT,1980,0,2190,0,290,0,0,5,0
PRT,1990,0,110,0,305,26,45051,0,0
PRT,2000,0,0,0,64.6,7,0,15013.6,0
PRT,2010,0,0,0,61.8,410.9,0,516.5,0
PRT,2020,0,0,0,0,0,0,62333332,0
PRI,1950,0,0,0,0,0,0,0,0
PRI,1960,0,0,0,0,0,0,0,0
PRI,1970,0,0,0,0,450,0,0,0
PRI,1980,0,0,0,0,200,0,0,0
PRI,1990,0,0,0,60,15531.5,0,0,0
PRI,2000,0,0,0,1188.5,360,0,0,0
PRI,2010,0,0,0,40,75227.1,0,0,0
PRI,2020,0,17426666,0,0,0,0,0,0
QAT,1950,0,0,0,0,0,0,0,0
QAT,1960,0,0,0,0,0,0,0,0
QAT,1970,0,0,0,0,0,0,0,0
QAT,1980,0,0,0,0,0,0,0,0
QAT,1990,0,0,0,0,0,0,0,0
QAT,2000,0,0,0,0,0,0,0,0
QAT,2010,0,0,0,150,0,0,0,0
QAT,2020,0,0,0,0,0,0,0,0
REU,1950,0,0,0,0,0,0,0,0
REU,1960,0,0,0,0,0,0,0,0
REU,1970,0,0,100,0,0,0,0,0
REU,1980,0,0,0,0,1726.1,0,0,0
REU,1990,0,0,0,0,0,0,0,0
REU,2000,0,0,0,0,379,0,0,0
REU,2010,0,0,0,0,46.5,0,0,0
REU,2020,0,0,0,0,43333335,0,0,0
ROU,1950,0,0,0,0,0,0,0,0
ROU,1960,0,0,0,0,0,0,0,0
ROU,1970,0,38630,0,123875.5,0,0,0,0
ROU,1980,0,0,0,200,0,0,0,0
ROU,1990,0,655,0,16335.3,566.6,33,0,190
ROU,2000,0,0,0,21208.1,279,0,0,82
ROU,2010,0,0,0,2302.4,45120,0,0,753.9
ROU,2020,0,0,0,42033334,0,0,0,0
RUS,1950,0,0,0,0,0,0,0,0
RUS,1960,0,0,0,0,0,0,0,0
RUS,1970,0,0,0,0,0,0,0,0
RUS,1980,0,0,0,0,0,0,0,0
RUS,1990,0,1435.2,0,123818.6,278.2,205,10128.3,72587.7
RUS,2000,100000,4583.8,0,87430.4,1849.2,50.8,112,3171.6
RUS,2010,0,0,0,26371.6,45067,0,1377.1,160.5
RUS,2020,0,0,0,9796,100,1001,774,0
RWA,1950,0,0,0,0,0,0,0,0
RWA,1960,0,0,0,0,0,0,0,0
RWA,1970,170000,0,0,190000,0,0,0,0
RWA,1980,48000,0,0,2167.8,0,0,0,0
RWA,1990,97654.5,0,0,0,0,0,0,0
RWA,2000,100000,228.6,0,4586.2,0,200,0,0
RWA,2010,0,0,0,5056.8,655.3,3597.9,0,0
RWA,2020,0,0,4455,10085,0,0,0,0
BLM,1950,0,0,0,0,0,0,0,0
BLM,1960,0,0,0,0,0,0,0,0
BLM,1970,0,0,0,0,0,0,0,0
BLM,1980,0,0,0,0,0,0,0,0
BLM,1990,0,0,0,0,0,0,0,0
BLM,2000,0,0,0,0,0,0,0,0
BLM,2010,0,0,0,0,0,0,0,0
BLM,2020,0,0,0,0,0,0,0,0
SHN,1950,0,0,0,0,0,0,0,0
SHN,1960,0,0,0,0,0,0,0,0
SHN,1970,0,0,0,0,0,0,0,0
SHN,1980,0,0,0,0,0,0,0,0
SHN,1990,0,0,0,0,0,0,0,0
SHN,2000,0,0,0,0,30,0,0,0
SHN,2010,0,0,0,0,0,0,0,0
SHN,2020,0,0,0,0,0,0,0,0
KNA,1950,0,0,0,0,0,0,0,0
KNA,1960,0,0,0,0,0,0,0,0
KNA,1970,0,0,0,0,0,0,0,0
KNA,1980,0,0,0,0,130,0,0,0
KNA,1990,0,0,0,0,1298,0,0,0
KNA,2000,0,0,0,0,0,0,0,0
KNA,2010,0,0,0,0,50,0,0,0
KNA,2020,0,0,0,0,0,0,0,0
LCA,1950,0,0,0,0,0,0,0,0
LCA,1960,0,0,0,0,0,0,0,0
LCA,1970,0,0,0,0,0,0,0,0
LCA,1980,0,0,0,0,8300,0,0,0
LCA,1990,0,0,0,0,95,45063,0,0
LCA,2000,0,0,0,0,0,0,0,0
LCA,2010,0,0,0,2198.4,20600,0,0,0
LCA,2020,0,0,0,0,0,0,0,0
MAF,1950,0,0,0,0,0,0,0,0
MAF,1960,0,0,0,0,0,0,0,0
MAF,1970,0,0,0,0,0,0,0,0
MAF,1980,0,0,0,0,0,0,0,0
MAF,1990,0,0,0,0,0,0,0,0
MAF,2000,0,0,0,0,0,0,0,0
MAF,2010,0,0,0,0,11,0,0,0
MAF,2020,0,0,0,0,0,0,0,0
VCT,1950,0,0,0,0,0,0,0,0
VCT,1960,0,0,0,0,0,0,0,0
VCT,1970,0,0,2200,0,0,0,0,0
VCT,1980,0,0,0,115.2,2070.8,0,0,0
VCT,1990,0,0,0,20,10,0,0,0
VCT,2000,0,0,0,0,153.4,0,0,0
VCT,2010,0,0,0,4269.7,610,0,0,0
VCT,2020,0,0,44333335,0,43,0,0,0
WSM,1950,0,0,0,0,0,0,0,0
WSM,1960,0,0,0,0,9500.4,0,0,0
WSM,1970,0,0,0,0,0,0,0,0
WSM,1980,0,0,0,0,100,0,100,0
WSM,1990,0,0,0,0,28300,0,0,0
WSM,2000,0,558.4,0,0,0,0,0,0
WSM,2010,0,0,0,0,1270.3,0,0,0
WSM,2020,0,0,0,0,0,0,0,0
STP,1950,0,0,0,0,0,0,0,0
STP,1960,0,0,0,0,0,0,0,0
STP,1970,0,0,0,0,0,0,0,0
STP,1980,9300,0,0,0,0,0,0,0
STP,1990,0,0,0,0,0,0,0,0
STP,2000,0,0,0,0,0,0,0,0
STP,2010,0,0,0,0,0,0,0,0
STP,2020,0,0,0,73222664,0,0,0,0
SAU,1950,0,0,0,0,0,0,0,0
SAU,1960,0,0,0,100,0,0,0,0
SAU,1970,0,0,0,0,0,0,0,0
SAU,1980,0,0,0,500,0,0,0,0
SAU,1990,0,0,0,0,0,0,0,0
SAU,2000,0,0,0,2354.7,0,0,0,0
SAU,2010,0,0,0,392,44969,0,0,0
SAU,2020,0,0,0,200,0,0,0,0
SEN,1950,0,0,0,0,0,0,0,0
SEN,1960,140000,0,0,200,0,0,0,0
SEN,1970,466500,0,0,0,0,0,0,0
SEN,1980,120000,0,0,1800,0,0,0,0
SEN,1990,0,0,0,32250,9585.3,0,0,0
SEN,2000,28400,0,0,52966.9,100,0,0,0
SEN,2010,180970.2,0,0,34765.6,0,0,0,0
SEN,2020,0,0,0,12336667,0,0,0,0
SRB,1950,0,0,0,0,0,0,0,0
SRB,1960,0,0,0,0,0,0,0,0
SRB,1970,0,0,0,0,0,0,0,0
SRB,1980,0,0,0,0,0,0,0,0
SRB,1990,0,0,0,0,0,0,0,0
SRB,2000,0,0,0,1558,0,0,0,50
SRB,2010,0,2703,0,8803.6,0,0,0,9123.4
SRB,2020,0,0,0,7073333,0,0,0,0
SYC,1950,0,0,0,0,0,0,0,0
SYC,1960,0,0,0,0,0,0,0,0
SYC,1970,0,0,0,0,0,0,0,0
SYC,1980,0,0,0,0,0,0,0,0
SYC,1990,0,0,0,123.7,0,0,0,0
SYC,2000,0,483,0,0,680,0,0,0
SYC,2010,0,0,0,443.5,300,0,0,0
SYC,2020,0,0,0,0,0,0,0,0
SLE,1950,0,0,0,0,0,0,0,0
SLE,1960,0,0,0,0,0,0,0,0
SLE,1970,0,0,0,0,1000,0,0,0
SLE,1980,0,0,0,0,0,0,0,0
SLE,1990,0,0,0,20000,0.3,0,0,0
SLE,2000,0,0,0,2097,0,0,0,0
SLE,2010,0,0,0,3491.8,0,1192.1,225.7,0
SLE,2020,0,0,0,43273335,0,0,0,0
SXM,1950,0,0,0,0,0,0,0,0
SXM,1960,0,0,0,0,0,0,0,0
SXM,1970,0,0,0,0,0,0,0,0
SXM,1980,0,0,0,0,0,0,0,0
SXM,1990,0,0,0,0,0,0,0,0
SXM,2000,0,0,0,0,0,0,0,0
SXM,2010,0,0,0,0,504,0,0,0
SXM,2020,0,0,0,0,0,0,0,0
SVK,1950,0,0,0,0,0,0,0,0
SVK,1960,0,0,0,0,0,0,0,0
SVK,1970,0,0,0,0,0,0,0,0
SVK,1980,0,0,0,0,0,0,0,0
SVK,1990,0,0,0,4781.5,0,0,0,0
SVK,2000,0,0,0,33,1032.4,0,0,45177
SVK,2010,0,0,0,85,0,0,0,0
SVK,2020,0,0,0,83333336,0,0,0,0
SVN,1950,0,0,0,0,0,0,0,0
SVN,1960,0,0,0,0,0,0,0,0
SVN,1970,0,0,0,0,0,0,0,0
SVN,1980,0,0,0,0,0,0,0,0
SVN,1990,0,70,0,0,0,0,0,0
SVN,2000,0,60.5,0,0,105,0,0,0
SVN,2010,0,0,0,1455,0,0,0,5000
SVN,2020,0,0,0,500,0,0,0,0
SLB,1950,0,0,0,0,0,0,0,0
SLB,1960,0,0,0,0,120,0,0,0
SLB,1970,0,100.1,600,0,600,0,0,0
SLB,1980,0,50,0,0,18065,0,0,0
SLB,1990,38,0,0,0,8850,0,0,0
SLB,2000,0,238.4,0,700,153.5,0,0,0
SLB,2010,0,1422.5,0,8308,4608.6,0,0,0
SLB,2020,0,0,0,0,50000,0,0,0
SOM,1950,0,0,0,0,0,0,0,0
SOM,1960,70000,0,0,0,0,0,0,0
SOM,1970,23000,0,0,4000,0,0,0,0
SOM,1980,55350,0,0,11000,0,0,0,0
SOM,1990,120000,0,0,124060,0,0,0,0
SOM,2000,350000,10508.3,0,93958.2,0,0,0,0
SOM,2010,1573562.4,0,0,236249.6,40438,0,0,0
SOM,2020,2366666.8,0,0,531812,40000,0,0,0
ZAF,1950,0,0,0,0,0,0,0,0
ZAF,1960,500,100,0,0,0,0,0,0
ZAF,1970,0,0,0,100,0,0,0,0
ZAF,1980,217000,0,0,6518.5,50020,0,0,0
ZAF,1990,30000,44962,0,4063.7,2094,0,300.5,0
ZAF,2000,1500000,45143,0,13332.8,10633.2,0,437.5,0
ZAF,2010,345000,200.2,0,34470.6,2399.9,0,550,2
ZAF,2020,4000000,0,0,47906332,40823333,0,0,0
KOR,1950,0,0,0,0,0,0,0,0
KOR,1960,280000,0,0,76975.1,20684.5,0,0,0
KOR,1970,0,0,0,121333.9,4155,0,0,0
KOR,1980,0,0,0,50517.1,17722.2,400,0,0
KOR,1990,0,0,0,40276.2,3995.4,168.8,0,0
KOR,2000,0,0,0,34194,17426,0,515,0
KOR,2010,0,3488.9,0,2900,13107.3,202.6,303.5,0
KOR,2020,0,0,0,8806,13336667,0,360,118333336
SSD,1950,0,0,0,0,0,0,0,0
SSD,1960,0,0,0,0,0,0,0,0
SSD,1970,0,0,0,0,0,0,0,0
SSD,1980,0,0,0,0,0,0,0,0
SSD,1990,0,0,0,0,0,0,0,0
SSD,2000,430000,0,0,9279.1,0,0,0,0
SSD,2010,360000,0,0,198480,0,0,44958,0
SSD,2020,6000,0,0,959000,0,0,0,0
ESP,1950,0,7,0,0,0,0,0,0
ESP,1960,0,0,0,0,0,0,0,0
ESP,1970,0,0,0,5,0,0,0,0
ESP,1980,0,0,0,73620,6006,0,30,0
ESP,1990,600000,2,0,440,35,45181,1712,7
ESP,2000,0,0,0,681,0.2,0,170.6,44996
ESP,2010,0,1530,0,746.8,32,0,150.6,0
ESP,2020,0,0,2296,83333336,6666667,0,11666666,0
LKA,1950,0,0,0,0,25000,0,0,0
LKA,1960,0,0,0,139934.7,38000,0,0,0
LKA,1970,25000,0,0,200,100500,0,0,0
LKA,1980,500600,0,0,254048.5,800,0,0,0
LKA,1990,0,0,0,332573.6,0,13,0,0
LKA,2000,100000,101930.6,0,383606.7,42500,0,0,0
LKA,2010,472209.1,0,0,584752.6,27145.7,179.7,0,0
LKA,2020,0,0,0,184547.67,81056665,0,0,0
SDN,1950,0,0,0,0,0,0,0,0
SDN,1960,0,0,0,0,0,0,0,0
SDN,1970,0,0,0,24500,0,0,0,0
SDN,1980,1185000,0,0,263200,0,0,0,0
SDN,1990,1136000,801.5,0,150920.6,0,0,0,0
SDN,2000,0,0,0,152662.6,0,0,0,0
SDN,2010,400000,0,0,166345.9,3,0,0,0
SDN,2020,0,0,0,509060,53333335,0,0,0
SUR,1950,0,0,0,0,0,0,0,0
SUR,1960,0,0,0,460,0,0,0,0
SUR,1970,0,0,0,0,0,0,0,0
SUR,1980,0,0,0,0,0,0,0,0
SUR,1990,0,0,0,0,0,0,0,0
SUR,2000,0,0,0,3154.8,0,0,0,0
SUR,2010,0,0,0,0,0,0,0,0
SUR,2020,0,0,0,63666665,0,0,0,0
SWE,1950,0,0,0,0,0,0,0,0
SWE,1960,0,0,0,0,0,0,0,0
SWE,1970,0,0,0,0,0,5,0,0
SWE,1980,0,0,0,0,0,0,0,0
SWE,1990,0,0,0,0,0,0,0,0
SWE,2000,0,0,0,0,0,0,0,0
SWE,2010,0,0,0,0,0,0,0,0
SWE,2020,0,0,0,4500,0,0,0,0
CHE,1950,0,0,0,0,0,0,0,0
CHE,1960,0,0,0,0,0,44959,0,0
CHE,1970,0,0,0,0,0,45142,0,0
CHE,1980,0,0,0,0,14,200,0,0
CHE,1990,0,0,0,0,0,0,0,0
CHE,2000,0,0,0,560.1,0.9,178.1,0,0
CHE,2010,0,0,0,0,44995,0,0,0
CHE,2020,0,0,0,0,6,0,0,0
SYR,1950,0,0,0,0,0,0,0,0
SYR,1960,0,0,0,4000,0,0,0,0
SYR,1970,0,0,0,20500,0,0,0,0
SYR,1980,0,0,0,0,0,0,0,0
SYR,1990,32900,0,0,0,0,0,0,0
SYR,2000,130000,0,0,0,35.2,44987,0,0
SYR,2010,0,0,0,23500,350,0,0,0
SYR,2020,1833333.4,0,0,47334332,120900,0,46693,0
TWN,1950,0,1280.9,0,0,0,0,0,0
TWN,1960,0,6250.3,0,0,4576.2,0,0,0
TWN,1970,0,0,0,2600,1152.8,0,0,0
TWN,1980,0,45081,0,45047,220,45029,0,0
TWN,1990,0,10891.8,0,30,42067,0,0,0
TWN,2000,0,54.2,0,300,297624.3,0,0,0
TWN,2010,0,252.2,0,3907.4,764.7,0,0,0
TWN,2020,0,46666668,0,0,33666668,0,0,0
TJK,1950,0,0,0,0,0,0,0,0
TJK,1960,0,0,0,0,0,0,0,0
TJK,1970,0,0,0,0,0,0,0,0
TJK,1980,0,0,0,0,0,0,0,0
TJK,1990,0,0,0,30111.3,150,7535.7,0,0
TJK,2000,380000,3016,0,44561.7,83,2202.7,0,200000
TJK,2010,0,1850.2,0,6625.8,0,0,0,250
TJK,2020,0,33333332,0,9233333,0,0,0,0
TZA,1950,0,0,0,0,0,0,0,0
TZA,1960,5348.3,50,0,7090,0,0,0,0
TZA,1970,2000,0,0,16700,0,0,0,0
TZA,1980,201000,0,0,19355.6,0,0,0,0
TZA,1990,380000,0,0,40827.3,250,0,0,0
TZA,2000,585400,849.1,0,9675,128.2,15,0,0
TZA,2010,100000,13960.1,0,27212.4,200511.2,0,0,0
TZA,2020,165666.67,0,0,22860334,10000333,0,0,0
THA,1950,0,0,0,0,0,0,0,0
THA,1960,0,0,0,20520,0,0,0,0
THA,1970,0,0,0,502849.3,0,0,0,0
THA,1980,0,0,0,356643.1,24200,0,0,0
THA,1990,850000,0,0,1064192.2,290338,1000,0,0
THA,2000,1500000,6700.7,0,1302643.5,9012.3,3311,0,0
THA,2010,1848260.2,1753.9,0,2782619,175144.5,0,0,100000
THA,2020,0,0,0,859682.3,109125664,0,0,0
TLS,1950,0,0,0,0,0,0,0,0
TLS,1960,0,0,0,0,0,0,0,0
TLS,1970,0,0,0,0,0,0,0,0
TLS,1980,0,0,0,0,0,0,0,0
TLS,1990,0,0,0,0,0,0,0,0
TLS,2000,0,0,0,450.5,873,0,0,0
TLS,2010,12000,200.3,0,0,0,0,0,0
TLS,2020,0,0,0,30436667,47890,0,0,0
TGO,1950,0,0,0,0,0,0,0,0
TGO,1960,0,0,0,0,45047,0,0,0
TGO,1970,15000,0,0,0,0,0,0,0
TGO,1980,40000,0,0,0,0,0,0,0
TGO,1990,0,0,0,29190.5,0,0,0,0
TGO,2000,0,0,0,18814.5,0,0,0,0
TGO,2010,0,0,0,12761,0,0,0,0
TGO,2020,0,0,0,19000,0,0,0,0
TKL,1950,0,0,0,0,0,0,0,0
TKL,1960,0,0,0,0,0,0,0,0
TKL,1970,0,0,0,0,0,0,0,0
TKL,1980,0,0,0,0,173,0,0,0
TKL,1990,0,0,0,0,44967,0,0,0
TKL,2000,0,0,0,0,45079,0,0,0
TKL,2010,0,0,0,0,0,0,0,0
TKL,2020,0,0,0,0,0,0,0,0
TON,1950,0,0,0,0,0,0,0,0
TON,1960,0,0,0,0,800,0,0,0
TON,1970,0,550.5,0,0,1090.5,0,0,0
TON,1980,0,0,0,0,14651.4,0,0,0
TON,1990,0,0,0,0,967.4,0,0,0
TON,2000,0,50.7,0,0,1650,0,0,0
TON,2010,0,0,0,0,9140.6,0,0,0
TON,2020,0,0,28058666,0,8333333,0,0,0
TTO,1950,0,0,0,0,0,0,0,0
TTO,1960,0,0,0,0,0,0,0,0
TTO,1970,0,0,0,0,5000,0,0,0
TTO,1980,0,0,0,0,0,0,0,0
TTO,1990,0,45108,20,21,100,0,0,0
TTO,2000,0,0,0,0,56,120,0,0
TTO,2010,0,0,0,15000,0,0,0,0
TTO,2020,0,0,0,0,0,0,0,0
TUN,1950,0,0,0,0,0,0,0,0
TUN,1960,0,0,0,29226.9,0,0,0,0
TUN,1970,3140,0,0,4499,0,0,0,0
TUN,1980,0,0,0,3250,0,0,0,0
TUN,1990,0,0,0,15200,0,0,0,0
TUN,2000,0,0,0,3350.8,0,0,0,0
TUN,2010,0,0,0,3000,0,0,200,0
TUN,2020,0,0,0,14666667,0,0,33333334,0
TUR,1950,0,5051.9,0,0,0,0,0,0
TUR,1960,0,46924.3,0,300,1200,0,0,0
TUR,1970,0,45497.9,0,0,0,0,0,0
TUR,1980,0,160589.2,0,6170,0,62,0,0
TUR,1990,0,371119.4,0,155286.5,0.3,1204.6,50,800
TUR,2000,0,60791,0,16095.2,163.6,61.5,65,45
TUR,2010,0,4890.1,0,2179.3,27,45107,0,0
TUR,2020,0,28868,0,2739,100,28,187029.33,0
TKM,1950,0,0,0,0,0,0,0,0
TKM,1960,0,0,0,0,0,0,0,0
TKM,1970,0,0,0,0,0,0,0,0
TKM,1980,0,0,0,0,0,0,0,0
TKM,1990,0,0,0,42,0,0,0,0
TKM,2000,0,0,0,0,0,0,0,0
TKM,2010,0,0,0,0,0,0,0,0
TKM,2020,0,0,0,0,0,0,0,0
TCA,1950,0,0,0,0,0,0,0,0
TCA,1960,0,0,0,0,0,0,0,0
TCA,1970,0,0,0,0,0,0,0,0
TCA,1980,0,0,0,0,77,0,0,0
TCA,1990,0,0,0,0,0,0,0,0
TCA,2000,0,0,0,0,170,0,0,0
TCA,2010,0,0,0,0,0,0,0,0
TCA,2020,0,0,0,0,0,0,0,0
TUV,1950,0,0,0,0,0,0,0,0
TUV,1960,0,0,0,0,0,0,0,0
TUV,1970,0,0,0,0,70,0,0,0
TUV,1980,0,0,0,0,0,0,0,0
TUV,1990,0,0,0,0,85,0,0,0
TUV,2000,0,0,0,0,0,0,0,0
TUV,2010,0,0,0,0,461.3,0,0,0
TUV,2020,34013333,0,0,0,18333334,0,0,0
UGA,1950,0,0,0,0,0,0,0,0
UGA,1960,2500,551,0,0,0,0,0,0
UGA,1970,50000,0,0,0,0,0,0,0
UGA,1980,60000,200,0,0,0,0,0,0
UGA,1990,82600,5000,0,16870,0,0,0,0
UGA,2000,235500,0,0,79062.5,1010.5,336.6,0,0
UGA,2010,66900,59,0,19213.4,45111,14818,0,0
UGA,2020,172666.67,0,0,90474336,2900,39866666,0,0
UKR,1950,0,0,0,0,0,0,0,0
UKR,1960,0,0,0,0,0,0,0,0
UKR,1970,0,0,0,0,0,0,0,0
UKR,1980,0,0,0,0,0,0,0,0
UKR,1990,0,0,0,205957,100,0,0,0
UKR,2000,0,0,0,53866.5,5566.2,0,0,5960
UKR,2010,0,0,0,4251.9,60,0,0,8802.6
UKR,2020,0,0,0,18333334,5666667,0,656,0
ARE,1950,0,0,0,0,0,0,0,0
ARE,1960,0,0,0,0,0,0,0,0
ARE,1970,0,0,0,0,0,0,0,0
ARE,1980,0,0,0,0,0,0,0,0
ARE,1990,0,0,0,0,0,0,0,0
ARE,2000,0,0,0,0,0,0,0,0
ARE,2010,0,0,0,45156,0,0,0,0
ARE,2020,0,0,0,0,0,0,0,0
GBR,1950,0,0,0,0,0,0,0,0
GBR,1960,0,0,0,0,70,0,0,0
GBR,1970,0,0,0,0,0,0,0,0
GBR,1980,0,0,0,0,44958,0,0,0
GBR,1990,0,0,0,193,26520,0,0,0
GBR,2000,0,450.1,0,38083.8,2328.4,0,0,45111
GBR,2010,0,0,0,5309.5,3780.4,0,0,0
GBR,2020,0,0,0,160,0,0,0,0
USA,1950,0,47,0,0,0,0,0,0
USA,1960,0,0,0,0,145.8,0,0,0
USA,1970,0,357.1,0,570,260.6,0,0,0
USA,1980,0,809.8,250,13005,112160.7,0,0,0
USA,1990,0,3090.1,0,64820.9,363874.7,45058,4614.2,0
USA,2000,0,3136.6,0,1132547.2,869280.3,45047,79455.6,44929
