iso_code,Year,Number of total people affected by drought,Number of total people affected by earthquakes,Number of total people affected by volcanic activity,Number of total people affected by floods,Number of total people affected by storms,Number of total people affected by landslides,Number of total people affected by wildfires,Number of total people affected by extreme temperatures
KHM,1960,0,0,0,0,0,0,0,0
KHM,1970,0,0,0,0,0,0,0,0
KHM,1980,0,0,0,0,0,0,0,0
KHM,1990,500000,0,0,288937.9,0,0,0,0
KHM,2000,155000,0,0,664423.5,17809.1,0,0,0
KHM,2010,250000,0,0,420479,630,0,0,0
KHM,2020,0,0,0,60331668,253287,0,0,0
CMR,1950,0,0,0,0,0,0,0,0
CMR,1960,0,0,0,0,0,0,0,0
CMR,1970,40000,0,0,0,0,0,0,0
CMR,1980,0,0,1043.7,100,0,0,0,0
CMR,1990,18690,0,301,120,0,0,0,0
CMR,2000,0,0,0,3729.6,0,10,0,0
CMR,2010,1200,0,0,34877,0,0,0,0
CMR,2020,0,0,0,59832332,0,83333336,0,0
CAN,1950,0,0,0,10700,0,0,0,0
CAN,1960,0,0,0,0,0,44959,0,0
CAN,1970,0,0,0,0,34,0,0,0
CAN,1980,3000,0,0,450,365,0,3200,20
CAN,1990,0,0,0,4990,750.4,0,2060,0
CAN,2000,0,0,0,1607,137.3,0,180,0
CAN,2010,0,0,0,15331.7,95,0,15447.7,0
CAN,2020,0,0,0,9978667,21434,0,83333336,0
CPV,1950,0,0,0,0,0,0,0,0
CPV,1960,0,0,0,0,0,0,0,0
CPV,1970,0,0,0,0,0,0,0,0
CPV,1980,0,0,0,0,772.2,0,0,0
CPV,1990,1000,0,630.6,0,0,0,0,0
CPV,2000,3000,0,0,15,0,0,0,0
CPV,2010,7000,0,250,0,0,0,0,0
CPV,2020,15364333,0,0,8333333,0,0,0,0
CYM,1950,0,0,0,0,0,0,0,0
CYM,1960,0,0,0,0,0,0,0,0
CYM,1970,0,0,0,0,0,0,0,0
CYM,1980,0,0,0,0,0,0,0,0
CYM,1990,0,0,0,0,0,0,0,0
CYM,2000,0,0,0,0,30,0,0,0
CYM,2010,0,0,0,0,0,0,0,0
CYM,2020,0,0,0,0,0,0,0,0
CAF,1950,0,0,0,0,0,0,0,0
CAF,1960,0,0,0,0,0,0,0,0
CAF,1970,0,0,0,1300,0,0,0,0
CAF,1980,0,0,0,0,185,0,0,0
CAF,1990,0,0,0,7653.3,0,0,45054,0
CAF,2000,0,0,0,5635,1597.2,0,75,0
CAF,2010,0,0,0,8593.1,1927.4,0,0,0
CAF,2020,0,0,0,40653332,0,0,10000,0
TCD,1950,0,0,0,0,0,0,0,0
TCD,1960,90000,0,0,0,0,0,0,0
TCD,1970,0,0,0,0,10,0,0,0
TCD,1980,150000,0,0,4799.8,120,0,0,0
TCD,1990,65600,0,0,25520.6,0,0,0,0
TCD,2000,320000,0,0,37612.8,45060,0,0,0
TCD,2010,348680,0,0,75863.3,0,45110,0,0
TCD,2020,700000,0,0,468781,0,0,0,0
CHL,1950,0,9,0,0,0,0,0,0
CHL,1960,12000,202635.6,200,37500,0,0,0,0
CHL,1970,0,234897.3,0,4600,10680,0,0,0
CHL,1980,0,148891.1,200,25948.2,35397.9,3,0,0
CHL,1990,0,5493.1,6355,8257.6,4025,8281.1,130,1000
CHL,2000,0,5280,800,67583.3,251.2,0,45074,2500
CHL,2010,0,389151.9,1110,21877.6,93.8,44971,2088.4,2562.5
CHL,2020,0,0,0,20333333,17366667,0,0,0
CHN,1950,0,15373.3,0,1000000,0,0,0,0
CHN,1960,0,5589.5,0,0,0,0,0,0
CHN,1970,600000,73947.6,0,1100000,1400,0,0,0
CHN,1980,4900000,181488,0,14055262,4447368.5,5752.9,5631.3,3000
CHN,1990,13375000,1184680.9,0,100361770,10262079,254.2,0,10218
CHN,2000,24152400,5474349,0,52826440,28044412,3382.9,30,7700370
CHN,2010,7972600,815080.9,0,38140252,7074789,239396.1,0.3,408412.2
CHN,2020,2033333.4,98139336,0,10636473,266456.34,66676665,400,0
COL,1950,0,4004.6,0,0,0,0,0,0
COL,1960,0,4050,0,7000,108.3,0,0,0
COL,1970,0,1464.8,0,521617.2,0,111.6,0,0
COL,1980,0,3620,1460,38170,12854,2043.6,0,0
COL,1990,10000,126712.3,0.6,55146.7,0,470.8,0,0
COL,2000,0,1089.7,4235.8,550693.1,1077.4,342.7,0,0
COL,2010,0,5125.1,0,463072.3,45139,4639.5,11920,0
COL,2020,0,0,0,112961336,94267336,10904,0,0
COM,1950,0,0,0,0,0,0,0,0
COM,1960,0,0,0,0,0,0,0,0
COM,1970,0,0,2500,0,0,0,0,0
COM,1980,0,0,0,0,11505.2,0,0,0
COM,1990,0,0,20,0,0,0,0,0
COM,2000,0,0,28400,250,30,0,0,0
COM,2010,0,1000,0,6513.7,35482.2,0,0,0
COM,2020,0,0,0,0,0,0,0,0
COG,1950,0,0,0,0,0,0,0,0
COG,1960,0,0,0,0,0,66.8,0,0
COG,1970,0,0,0,0,0,0,0,0
COG,1980,0,0,0,0,0,0,0,0
COG,1990,0,0,0,7850,0,0,0,0
COG,2000,0,0,0,8500,0,0,0,0
COG,2010,0,0,0,22261.4,0,0,0,0
COG,2020,0,0,0,37550668,0,0,0,0
COK,1950,0,0,0,0,0,0,0,0
COK,1960,0,0,0,0,0,0,0,0
COK,1970,0,0,0,0,0,0,0,0
COK,1980,0,0,0,0,200,0,0,0
COK,1990,0,0,0,0,90,0,0,0
COK,2000,0,0,0,0,135.2,0,0,0
COK,2010,0,0,0,0,220.2,0,0,0
COK,2020,0,0,0,0,0,0,0,0
CRI,1950,0,0,0,0,0,0,0,0
CRI,1960,0,0,2087.1,460.3,0,0,0,0
CRI,1970,0,374.5,7000,1524,0,0,0,0
CRI,1980,0,553.5,0,1385,12750,0,0,0
CRI,1990,0,2541.8,45,25602.1,74076.2,0,120,0
CRI,2000,0,12903.3,0,28402.9,5607.4,20,0,0
CRI,2010,0,76.2,1845,19418,6150,0,0,0
CRI,2020,0,0,0,66666664,108333336,0,0,0
CIV,1950,0,0,0,0,0,0,0,0
CIV,1960,0,0,0,0,0,0,0,0
CIV,1970,0,0,0,0,0,0,0,0
CIV,1980,0,0,0,700,0,0,0,0
CIV,1990,0,0,0,0,0,0,0,0
CIV,2000,0,0,0,245,0,1000.6,0,0
CIV,2010,0,0,0,4629.6,0,0,0,0
CIV,2020,0,0,0,10083,0,0,0,0
HRV,1950,0,0,0,0,0,0,0,0
HRV,1960,0,0,0,0,0,0,0,0
HRV,1970,0,0,0,0,0,0,0,0
HRV,1980,0,0,0,0,0,0,0,0
HRV,1990,0,200,0,0,0,0,0,0
HRV,2000,0,0,0,205,0,0,45079,20
HRV,2010,0,0,0,1346.2,350,0,8,0
HRV,2020,0,76116336,0,0,0,0,0,0
CUB,1950,0,0,0,0,0,0,0,0
CUB,1960,0,0,0,0,17403,0,0,0
CUB,1970,0,0.8,0,1800,17,0,0,0
CUB,1980,0,0,0,26508.7,74039.1,0,0,0
CUB,1990,82000,586.9,0,70977.3,99916.2,0,0,0
CUB,2000,0,0,0,7577.5,976345.2,0,0,0
CUB,2010,10000,0,0,1331.6,1044875.2,0,0,0
CUB,2020,0,0,0,7666667,203704.33,0,0,0
CYP,1950,0,260,0,0,0,0,0,0
CYP,1960,0,0,0,0,310,0,0,0
CYP,1970,0,0,0,0,0,0,0,0
CYP,1980,0,0,0,0,0,0,0,0
CYP,1990,0,186.5,0,0,0,0,0,10
CYP,2000,0,0,0,0,4,0,0,40
CYP,2010,0,0,0,0,0,0,0,0
CYP,2020,0,0,0,0,0,0,50,0
CZE,1950,0,0,0,0,0,0,0,0
CZE,1960,0,0,0,0,0,0,0,0
CZE,1970,0,0,0,0,0,0,0,0
CZE,1980,0,0,0,0,0,0,0,0
CZE,1990,0,0,0,10216.7,0,0,0,0
CZE,2000,0,0,0,21876.5,45047,0,0,0
CZE,2010,0,0,0,130140,0,0,0,0
CZE,2020,0,0,0,0,12743334,0,0,0
COD,1950,0,0,0,0,0,0,0,0
COD,1960,0,360,0,0,0,76.8,0,0
COD,1970,50000,0,6000,0,0,0,0,0
COD,1980,30000,0,0,0,0,45152,0,0
COD,1990,0,44957,0,14105.6,0,0,0,0
COD,2000,0,1886,11040,3711.9,10303.6,0,45058,0
COD,2010,0,39,0,70713.4,0,162.7,5977.3,0
COD,2020,0,0,96134664,135835.33,0,0,0,0
DNK,1950,0,0,0,0,0,0,0,0
DNK,1960,0,0,0,0,0,0,0,0
DNK,1970,0,0,0,0,0,0,0,0
DNK,1980,0,0,0,0,0,0,0,0
DNK,1990,0,0,0,0,0,0,0,0
DNK,2000,0,0,0,0,0,0,0,0
DNK,2010,0,0,0,0,0,0,0,0
DNK,2020,0,0,0,0,1,0,0,0
DJI,1950,0,0,0,0,0,0,0,0
DJI,1960,0,0,0,0,0,0,0,0
DJI,1970,0,0,0,19700,0,0,0,0
DJI,1980,25500,0,0,25230,0,0,0,0
DJI,1990,20000,0,0,14000,77.5,0,0,0
DJI,2000,53275,0,0,10000,0,0,0,0
DJI,2010,20025.8,0,0,25000,2500,0,0,0
